"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"553","A Clockwork Orange (Stage Play)","Anthony Burgess",3.84,"9780413735904","eng",51,28,2,2017-03-10,"Methuen Drama",2017,"51-150"
"554","The Portrait of Dorian Gray","Oscar Wilde/Elizabeth  Gray",4.08,"9781842161906","eng",51,85,2,1999-10-10,"Express Publishing",1999,"51-150"
"555","The Facts in the Case of the Departure of Miss Finch","Neil Gaiman/Michael Zulli",3.54,"9781593076672","eng",51,2038,198,2008-04-01,"Dark Horse Books",2008,"51-150"
"556","The SantaLand Diaries and Season's Greetings","David Sedaris/Joe Mantello",4.18,"9780822216315","eng",54,584,34,1998-12-01,"Dramatists Play Service",1998,"51-150"
"557","And Still I Rise","Maya Angelou/Linda Sunshine/Diego Rivera",4.42,"9780375505966","eng",54,3720,240,2001-08-07,"Random House",2001,"51-150"
"558","Hamlet (Oxford Bookworms Library: Stage 2)","Alistair McCallum/William Shakespeare",3.89,"9780194232203","eng",54,164,6,2005-10-01,"Oxford University Press  USA",2005,"51-150"
"559","Bill Bryson's African Diary","Bill Bryson",3.44,"9780767915069","eng",55,7270,499,2002-12-03,"Broadway Books",2002,"51-150"
"560","Brokeback Mountain","Annie Proulx",3.94,"9780743271325","eng",55,24985,1751,2005-12-02,"Scribner",2005,"51-150"
"561","Lotta on Troublemaker Street","Astrid Lindgren/Robin Preiss Glasser",3.98,"9780689846731","eng",55,1429,24,2001-10-01,"Aladdin Paperbacks",2001,"51-150"
"562","Kill Your Boyfriend","Grant Morrison/Philip Bond/D'Israeli/Daniel Vozzo",3.57,"9781563894534","en-US",55,1269,66,1998-12-31,"DC Comics Vertigo",1998,"51-150"
"563","Once Said Darlene","William Sleator/Steven Kellogg",3.62,"9780525364108","eng",55,8,0,1979-03-22,"Dutton Books",1979,"51-150"
"564","Molly Hatchet - 5 of the Best","Molly Hatchet",4.33,"9781575606248","eng",56,6,0,2003-06-10,"Cherry Lane Music Company",2003,"51-150"
"565","Charles Dickens' A Christmas Carol","Jane Parker Resnick/Christian Birmingham",4.1,"9780762408481","eng",56,58,6,2000-10-11,"Running Press Kids",2000,"51-150"
"566","Howl and Other Poems","Allen Ginsberg/William Carlos Williams",4.13,"9780872863101","eng",56,85143,1284,2001-01-01,"City Lights",2001,"51-150"
"567","Ivanhoe","Marianna Mayer/Walter Scott/John Rush",3.96,"9781587172489","en-US",56,178,22,2004-10-07,"Chronicle Books",2004,"51-150"
"568","The Gremlins","Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin",3.44,"9781593074968","eng",56,511,65,2006-09-26,"Dark Horse Books",2006,"51-150"
"569","The Lord of the Rings (The Lord of the Rings  #1-3)","J.R.R. Tolkien/Rob Inglis",4.5,"9781402516276","eng",56,151,16,2002-02-22,"Recorded Books  Inc.",2002,"51-150"
"570","The 500 Hats of Bartholomew Cubbins","Dr. Seuss",4.04,"9780394844848","eng",56,13097,324,1989-12-09,"Random House Books for Young Readers",1989,"51-150"
"571","Daisy-Head Mayzie","Dr. Seuss",3.87,"9780679867128","eng",56,3196,137,1995-01-11,"Random House Books for Young Readers",1995,"51-150"
"572","The Homecoming","Ray Bradbury/Dave McKean",4.08,"9780060859626","en-US",56,806,98,2006-08-30,"Collins Design",2006,"51-150"
"573","Cliffs Notes on Wright's Black Boy","Carl Senna/CliffsNotes/Richard Wright",3.75,"9780822002420","eng",56,3,0,1971-05-05,"Cliffs Notes",1971,"51-150"
"574","The New Big Book of America","Todd Davis/Marc Frey",5,"9780762412631","eng",56,2,1,2002-03-21,"Courage Books",2002,"51-150"
"575","Una Vida Con Proposito Volumen 6","Rick Warren",4.35,"9781417499731","spa",56,26,3,2005-05-31,"Vida",2005,"51-150"
"576","The Art of the Ridiculous Sublime: On David Lynch's Lost Highway","Slavoj Žižek/Marek Wieczorek",3.72,"9780295979250","eng",56,275,22,2000-04-01,"University of Washington Press",2000,"51-150"
"577","El Escorpion: La Marca del Diablo: El Escorpion: The Mark of the Devil","Stephen Desberg/Enrico Marini",3.84,"9781594970009","spa",56,20,2,2004-10-01,"Public Square Books",2004,"51-150"
"578","In Praise of Shadows","Jun'ichirō Tanizaki/Edward G. Seidensticker/Thomas J. Harper/Charles Moore",4.09,"9780918172020","eng",56,6674,480,1977-12-01,"Leete's Island Books",1977,"51-150"
"579","The Little Fire Engine","Lois Lenski",3.56,"9780375810701","eng",56,209,27,2000-10-24,"Random House Books for Young Readers",2000,"51-150"
"580","I Like Winter (Seasons  #3)","Lois Lenski/Heidi Kilgras",3.94,"9780375810688","eng",56,65,9,2000-10-24,"Random House Books for Young Readers",2000,"51-150"
"581","Walt Whitman: Words for America","Barbara Kerley/Brian Selznick",4.05,"9780439357913","eng",56,258,58,2004-10-01,"Scholastic Press",2004,"51-150"
"582","Poems From The Hobbit","J.R.R. Tolkien",4.3,"9780618009343","eng",57,169,5,1999-12-13,"Houghton Mifflin Harcourt",1999,"51-150"
"583","Love As A Foreign Language #5","J. Torres/Eric  Kim",3.44,"9781932664393","eng",58,9,2,2006-02-01,"Oni Press",2006,"51-150"
"584","Dr. Seuss's Sleep Book","Dr. Seuss",4.17,"9780394800912","eng",58,8967,351,2012-07-24,"New York: Random House",2012,"51-150"
"585","Here Is New York","E.B. White/Roger Angell/Barbara Cohen/Judith Stonehill",4.3,"9781892145024","eng",58,5379,544,2000-01-01,"Little Bookroom",2000,"51-150"
"586","The Tale of the Flopsy Bunnies","Beatrix Potter",4.19,"9780723247791","eng",58,5209,130,2002-03-07,"Warne",2002,"51-150"
"587","The Trial and Death of Socrates (Euthyphro  Apology  Crito  Phaedo (death scene only))","Plato/G.M.A. Grube/John M. Cooper",4.08,"9780872205543","eng",58,26252,344,2001-06-01,"Hackett Publishing Company",2001,"51-150"
"588","On Vital Reserves","William  James/Stephen Vicchio",4.5,"9780870611513","eng",58,3,1,1988-04-01,"Christian Classics",1988,"51-150"
"589","The Bears on Hemlock Mountain","Alice Dalgliesh/Helen Sewell",3.79,"9780689716041","eng",58,2164,147,1992-10-31,"Aladdin",1992,"51-150"
"590","The Alchemist’s Kitchen: Extraordinary Potions & Curious Notions","Guy Ogilvy",4.03,"9780802715401","eng",58,136,12,2006-10-17,"Bloomsbury",2006,"51-150"
"591","Meditations on First Philosophy","René Descartes/Donald A. Cress",3.71,"9780872201927","eng",59,16700,353,1993-10-01,"Hackett Publishing Company  Inc.",1993,"51-150"
"592","Seven Miles a Second","David Wojnarowicz/James Romberger/Marguerite Van Cook",4.04,"9781563892479","eng",59,84,6,1996-05-01,"DC Comics",1996,"51-150"
"593","The Talking Horse and the Sad Girl and the Village Under the Sea: Poems","Mark Haddon",3.31,"9780307275691","eng",60,418,37,2006-04-11,"Vintage",2006,"51-150"
"594","The History of England","Jane Austen/Cassandra Austen/Deirdre Le Faye/A.S. Byatt",3.89,"9781565120556","eng",60,991,88,1993-01-10,"Algonquin Books",1993,"51-150"
"595","The Star Wars Cookbook II: Darth Malt and More Galactic Recipes","Wesley Martin/Frankie Frankeny",3.86,"9780811828031","eng",60,205,15,2000-07-01,"Chronicle Books",2000,"51-150"
"596","The Cat in the Hat","Dr. Seuss",4.17,"9780679891116","eng",61,289,4,1997-11-11,"Random House Books for Young Readers",1997,"51-150"
"597","The Cat in the Hat and Other Dr. Seuss Favorites","Dr. Seuss/Various",4.42,"9780807218730","eng",61,50844,160,2003-10-14,"Listening Library (Audio)",2003,"51-150"
"598","The Apple that Astonished Paris","Billy Collins",4.2,"9781557280244","eng",61,542,43,1999-02-01,"University of Arkansas Press",1999,"51-150"
"599","Ten Apples Up On Top!","Theo LeSieg/Dr. Seuss/Roy McKie",4.12,"9780007169979","eng",62,31251,494,2003-08-04,"HarperCollinsChildren’sBooks",2003,"51-150"
"600","Sun  Moon  Star","Kurt Vonnegut Jr./Ivan Chermayeff",3.78,"9780060263195","eng",62,420,40,1980-01-01,"HarperCollins Publishers",1980,"51-150"
"601","The Custard Kid (Black Cats)","Terry Deary",4.4,"9780713659894","eng",62,5,0,2001-10-31,"A & C Black (Childrens books)",2001,"51-150"
"602","The Dot and the Line: A Romance in Lower Mathematics","Norton Juster",4.34,"9780394733524","eng",62,57,6,1977-02-12,"Random House",1977,"51-150"
"603","Having Our Say: The Delany Sisters' First 100 Years","Emily Mann/Sarah L. Delany/A. Elizabeth Delany/Amy Hill Hearth",4.02,"9780822215028","eng",62,81,9,1996-03-01,"Dramatists Play Service",1996,"51-150"
"604","The Spiral Stair (Arabel and Mortimer  #6)","Joan Aiken/Quentin Blake",4.33,"9781903015070","eng",62,35,5,2000-08-01,"Barn Owl Books",2000,"51-150"
"605","L'albero","Shel Silverstein/Daniela Gamba",4.37,"9788877827197","ita",62,36,7,2000-05-01,"Salani",2000,"51-150"
"606","The Economics of Innocent Fraud: Truth for Our Time","John Kenneth Galbraith",3.6,"9780618013241","en-US",62,225,28,2004-04-26,"Houghton Mifflin Harcourt",2004,"51-150"
"607","On Being Ill","Virginia Woolf/Hermione Lee",4.02,"9781930464063","eng",63,1083,96,2002-10-01,"Paris Press",2002,"51-150"
"608","Bill Bryson's African Diary","Bill Bryson",3.44,"9780385605144","eng",63,264,22,2002-12-02,"Doubleday",2002,"51-150"
"609","What Would You Do? (American Girl Library)","Patti Kelley Criswell/Norm Bendell",4.26,"9781584858744","en-US",63,77,5,2004-07-01,"American Girl Publishing Inc",2004,"51-150"
"610","Answers to Questions Teachers Ask about Sensory Integration: Forms  Checklists  and Practical Tools for Teachers and Parents","Stacey Szklut/Carol Stock Kranowitz/Lynn Balzer-Martin",4.11,"9781931615037","eng",63,18,1,2002-01-01,"Sensory Resources",2002,"51-150"
"611","Black Hole  tome 3: Visions","Charles Burns",4,"9782840555520","fre",63,3,0,2001-03-15,"Delcourt",2001,"51-150"
"612","Disaster!: Catastrophes That Shook the World","Richard Bonson/Richard Platt",4.06,"9780789420343","eng",63,16,2,1997-09-01,"DK Publishing (Dorling Kindersley)",1997,"51-150"
"613","Treasure Island","Robert Louis Stevenson/N.C. Wyeth/Timothy Meis",3.83,"9780689854682","eng",64,104,14,2003-07-01,"Atheneum Books for Young Readers",2003,"51-150"
"614","On Beyond Zebra!","Dr. Seuss",4.04,"9780394800844","eng",64,2815,164,1955-09-12,"Random House Books for Young Readers",1955,"51-150"
"615","Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen","Ursula Ferrigno/Jason Lowe/Maxine  Clark",4.08,"0694055000612","eng",64,8,2,2001-03-01,"Ryland Peters & Small",2001,"51-150"
"616","The Trojan Women and Hippolytus","Euripides",3.63,"9780486424620","eng",64,34,4,2002-07-17,"Dover Publications",2002,"51-150"
"617","The Tale of the Unknown Island","José Saramago/Peter Sís/Margaret Jull Costa",3.89,"9780156013031","eng",64,3331,242,2000-10-05,"Mariner Books",2000,"51-150"
"618","A Modest Proposal and Other Satirical Works","Jonathan Swift",4.05,"9780486287591","eng",64,13562,141,1996-02-02,"Dover Publications",1996,"51-150"
"619","The Glorious Impossible","Madeleine L'Engle/Giotto di Bondone",4.25,"9780671686901","eng",64,367,38,1990-09-30,"Simon & Schuster Children's Publishing",1990,"51-150"
"620","The Wit and Wisdom of Mark Twain","Mark Twain",4.2,"9780486406640","eng",64,970,53,1998-12-23,"Dover Publications",1998,"51-150"
"621","Bridget Jones's Guide to Life","Helen Fielding",3.49,"9780142000212","en-US",64,1104,34,2001-04-01,"Penguin Books",2001,"51-150"
"622","Uncle Scrooge #359","Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli",3.88,"9781888472424","eng",64,8,1,2006-11-07,"Gemstone Publishing",2006,"51-150"
"623","Anne Frank: Life in Hiding","Johanna Hurwitz/Vera Rosenberry",3.99,"9780380732548","eng",64,152,23,1999-12-08,"HarperCollins",1999,"51-150"
"624","I'm Too Young To Be Seventy","Judith Viorst/Laura Gibson",3.93,"9780743267748","en-US",64,237,45,2005-10-12,"Simon  Schuster",2005,"51-150"
"625","Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes","Harry Graham/Frank J. Moore/D. Streamer",3.86,"9780486402185","eng",64,44,10,2013-06-19,"Dover Publications",2013,"51-150"
"626","The Acme Novelty Library #17","Chris Ware",4.35,"9781897299029","eng",64,772,21,2006-11-28,"Drawn and Quarterly",2006,"51-150"
"627","Gulliver's Travels","Gill Harvey/Jonathan Swift",3.35,"9780794503291","eng",64,13,3,2008-01-29,"Usborne Books",2008,"51-150"
"628","Happy Birthday to You!","Dr. Seuss",4.13,"9780394800769","eng",64,4344,262,1959-08-12,"Random House Books for Young Readers",1959,"51-150"
"629","McElligot's Pool","Dr. Seuss",4.06,"9780394800837","eng",64,4560,253,1947-09-12,"Random House Books for Young Readers",1947,"51-150"
"630","Horton Hears a Who!","Dr. Seuss",4.18,"9780679800033","eng",64,89920,1207,1990-10-10,"Random House Books for Young Readers",1990,"51-150"
"631","¡Horton escucha a quién!","Dr. Seuss/Yanitzia Canetti",4.18,"9781930332355","spa",64,29,4,2003-03-01,"Lectorum Publications",2003,"51-150"
"632","Dr. Seuss's ABC (Book & CD)","Dr. Seuss",4.08,"9780375834967","eng",64,8,0,2005-01-05,"Random House Books for Young Readers",2005,"51-150"
"633","The Stone Fey","Robin McKinley/John Clapp",3.36,"9780152000172","eng",64,1036,78,1998-09-01,"HMH Books for Young Readers",1998,"51-150"
"634","My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's","Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier",4.03,"9780064462044","eng",64,59,6,1998-03-21,"HarperCollins",1998,"51-150"
"635","Flowers (Eyewitness Explorers)","David Burnie",3.85,"9780789422132","eng",64,8,2,1997-09-15,"Dorling Kindersley Children",1997,"51-150"
"636","Tree (Eyewitness Books)","David Burnie/Peter K. Chadwick",4.02,"9780789458209","eng",64,5,0,2000-06-14,"DK Children",2000,"51-150"
"637","Insects & Spiders","David Burnie",4.5,"9780783548814","eng",64,4,0,1999-05-24,"Time Life Medical",1999,"51-150"
"638","Hailstones and Halibut Bones","Mary O'Neill/John Wallner",4.31,"9780385410786","en-US",64,125,22,1990-04-01,"Doubleday Books for Young Readers",1990,"51-150"
"639","The Illustrated Book of Ballet Stories (with CD)","Barbara  Newman/Gill Tomblin/Darcey Bussell",4.18,"9780789460974","eng",64,64,5,2000-06-14,"DK Children",2000,"51-150"
"640","Horton Hatches the Egg","Dr. Seuss",4.16,"9780007175192","eng",64,37851,597,2004-10-02,"Harpercollins Children's Books",2004,"51-150"
"641","CliffsNotes on Faulkner's Absalom  Absalom!","James Lamar Roberts/CliffsNotes",3.12,"9780822001102","eng",64,8,1,1964-02-28,"Cliffs Notes",1964,"51-150"
"642","Girls Think of Everything: Stories of Ingenious Inventions by Women","Catherine Thimmesh/Melissa Sweet",4.15,"9780618195633","eng",64,906,171,2002-03-11,"HMH Books for Young Readers",2002,"51-150"
"643","Beauty and the Beast","Max Eilenberg/Angela Barrett",4.37,"9780763631604","eng",64,3682,133,2006-11-14,"Candlewick Press",2006,"51-150"
"644","A Reading Guide to Island of the Blue Dolphins","Patricia McHugh",3.89,"9780439463690","eng",64,4,0,2003-07-01,"Scholastic Reference",2003,"51-150"
